Fecha/Hora,Direccion,Modulo,Tabla,Tabla Destino,Cantidad,Insertados,Tiempo (seg),Rows/seg,Count Antes,Count Despues,Neto,Outbox,Triggers,Errores
2026-03-18 09:14:28,Newcore To Legacy,INMUEBLES,INMUEBLETYPE,,1000,1000,0.595,1680.9,0,1000,1000,1000,ON,0
2026-03-18 09:15:24,Newcore To Legacy,INMUEBLES,CIUDADELATYPE,,1000,1000,0.233,4300.6,0,1000,1000,1000,ON,0
2026-03-18 09:25:24,Legacy To Newcore,dbIM,imtbmanz,,1000,1000,0.432,2315.9,22,1022,1000,1000,ON,0
2026-03-18 09:27:30,Legacy To Newcore,dbIM,imtbmanz,,1000,1000,0.38,2630.6,0,1000,1000,1000,ON,0
2026-03-18 09:28:16,Legacy To Newcore,dbIM,imtbtviv,,1000,1000,0.261,3836.6,8,1008,1000,1000,ON,0
2026-03-18 09:30:11,Newcore To Legacy,INMUEBLES,GASTOMANTENIMIENTOTYPE,,1000,1000,0.321,3111.5,1004,2004,1000,1000,ON,0
2026-03-18 09:32:21,Legacy To Newcore,dbIM,imtbmejo_tram,,1000,0,0.532,0,36,36,0,0,ON,2
2026-03-18 09:35:12,Newcore To Legacy,INMUEBLES,INMUEBLETYPE,,1000,1000,0.348,2876.6,1003,2003,1000,1000,ON,0
2026-03-18 09:39:24,Newcore To Legacy,INMUEBLES,CIUDADELATYPE,,1000,1000,0.262,3818.4,0,1000,1000,1000,ON,0
2026-03-18 09:41:44,Newcore To Legacy,INMUEBLES,INMUEBLETYPE,,1000,1000,0.439,2277.3,2003,3003,1000,1000,ON,0
2026-03-18 09:45:46,Newcore To Legacy,INMUEBLES,INMUEBLETYPE,dbIM.dbo.imtbdivi,1000,1000,0.45,2222.7,0,1000,1000,1000,ON,0
2026-03-18 09:46:41,Newcore To Legacy,INMUEBLES,INMUEBLETYPE,,1000,1000,0.27,3706.1,0,1000,1000,1000,ON,0
2026-03-18 09:48:08,Newcore To Legacy,INMUEBLES,GASTOMANTENIMIENTOTYPE,,1000,1000,0.494,2022.6,0,1000,1000,1000,ON,0
2026-03-18 10:07:07,Newcore To Legacy,INMUEBLES,CIUDADELATYPE,dbIM.dbo.imtbcpro,1000,1000,0.241,4152.5,0,1000,1000,1000,ON,0
2026-03-18 10:20:48,Newcore To Legacy,INMUEBLES,GASTOMANTENIMIENTOTYPE,,1000,1000,0.267,3745.4,0,1000,1000,1000,ON,0
2026-03-18 10:31:03,Newcore To Legacy,INMUEBLES,GASTOMANTENIMIENTOTYPE,,1000,1000,1.174,851.9,0,1000,1000,1000,ON,0
2026-03-18 10:31:46,Legacy To Newcore,dbIM,imtbmejo_tram,,1000,0,0.579,0,1000,1000,0,0,ON,2
2026-03-18 10:33:49,Newcore To Legacy,INMUEBLES,GASTOMANTENIMIENTOTYPE,dbIM.dbo.imtbmejo_tram,1000,1000,0.579,1727.2,0,1000,1000,1000,ON,0
2026-03-18 10:37:07,Newcore To Legacy,INMUEBLES,CIUDADELATYPE,dbIM.dbo.imtbcpro,1000,1000,0.379,2640.4,0,1000,1000,1000,ON,0
2026-03-18 10:37:39,Newcore To Legacy,INMUEBLES,INMUEBLETYPE,dbIM.dbo.imtbdivi,1000,1000,0.596,1677.6,0,1000,1000,1000,ON,0
2026-03-18 10:50:02,Legacy To Newcore,dbIM,imtbmejo_tram,INMUEBLES.GASTOMANTENIMIENTOTYPE,1000,1000,0.631,1585.8,0,1000,1000,2000,ON,0
2026-03-18 10:51:10,Newcore To Legacy,INMUEBLES,ORDENTRABAJOTYPE,dbIM.dbo.imtbmejo_tram,1000,1000,0.326,3071.3,1000,2000,1000,1000,ON,0
2026-03-18 10:53:52,Legacy To Newcore,dbIM,imtbcpro,INMUEBLES.CIUDADELATYPE,1000,1000,1.392,718.2,0,1000,1000,3000,ON,0
2026-03-18 10:54:34,Newcore To Legacy,INMUEBLES,PROGRAMAVIVIENDATYPE,dbIM.dbo.imtbcpro,1000,1000,0.388,2579,1000,2000,1000,1000,ON,0
2026-03-18 10:55:45,Newcore To Legacy,INMUEBLES,PROGRAMAVIVIENDATYPE,dbIM.dbo.imtbcpro,1000,1000,0.399,2506.2,0,1000,1000,1000,ON,0
2026-03-18 10:57:05,Newcore To Legacy,INMUEBLES,MANZANATYPE,dbIM.dbo.imtbmanz,1000,1000,0.29,3451.7,0,1000,1000,1000,ON,0
2026-03-18 10:58:10,Newcore To Legacy,INMUEBLES,MANZANATYPE,dbIM.dbo.imtbmanz,1000,1000,0.3,3328.3,0,1000,1000,1000,ON,0
2026-03-18 11:00:34,Newcore To Legacy,INMUEBLES,ORDENTRABAJOTYPE,dbIM.dbo.imtbmejo_tram,1000,1000,0.375,2669.2,0,1000,1000,1000,ON,0
2026-03-18 11:02:43,Newcore To Legacy,INMUEBLES,ORDENTRABAJOTYPE,dbIM.dbo.imtbmejo_tram,1000,1000,0.26,3849,0,1000,1000,1000,ON,0
2026-03-18 11:04:57,Legacy To Newcore,dbIM,imtbcpro,INMUEBLES.CIUDADELATYPE,1000,1000,1.293,773.3,0,1000,1000,3000,ON,0
2026-03-18 11:06:12,Legacy To Newcore,dbIM,imtbdivi,INMUEBLES.INMUEBLETYPE,1000,1000,0.635,1575.5,1,1001,1000,2000,ON,0
2026-03-18 11:09:09,Legacy To Newcore,dbIM,imtbtviv,INMUEBLES.INMUEBLETYPE,1000,1000,0.253,3946.3,1008,2008,1000,1000,ON,0
2026-03-18 11:10:35,Newcore To Legacy,INMUEBLES,INMUEBLETYPE,dbIM.dbo.imtbdivi,1000,1000,0.266,3757.9,3000,4000,1000,1000,ON,0
2026-03-18 11:11:51,Newcore To Legacy,INMUEBLES,ORDENTRABAJOTYPE,dbIM.dbo.imtbmejo_tram,1000,1000,0.638,1566.5,1000,2000,1000,1000,ON,0
2026-03-18 11:13:44,Legacy To Newcore,dbIM,imtbcben,INMUEBLES.PROPIETARIOTYPE,1000,1000,0.437,2289.8,0,1000,1000,1000,ON,0
2026-03-18 11:16:36,Legacy To Newcore,dbIM,imtbbene_firm,INMUEBLES.VENTAINMUEBLETYPE,1000,1000,0.268,3729.3,14,1014,1000,1000,ON,0
2026-03-18 11:19:24,Legacy To Newcore,dbIM,imtbbene_entr,INMUEBLES.VENTAINMUEBLETYPE,1000,1000,0.293,3418.4,0,1000,1000,0,ON,0
2026-03-18 11:21:07,Newcore To Legacy,INMUEBLES,ORDENTRABAJOTYPE,dbIM.dbo.imtbmejo_tram,1000,1000,0.29,3451.1,0,1000,1000,1000,ON,0
